	Condition	Complete? (Estimate)	Keep?	Notes	Votes to keep	It belongs to...	Julie	Abby	Cody	Martin	Gisela	Ryne	Andrew	Collin	Matt (younger)	Matt (older)		Sam	Tim	Samatha						Add +1 to column F to vote to keep something	
Nexus Ops	VP	Y	N		0																						
Octiles	NM	Y	N		0	Sam																					
One Night Ultimate Vampire	NM	Y	N		0	matt																					
One Night Ultimate Werewolf	VG	Y	Y		0	matt																					
Operation	NM	Y	N		0																						
Pandemic	VG	N	Y	Pieces in Expansion Box	0																						
Pandemic	NM	Y	N	Redundant Copy, Ryne will take it, I want a personal copy to add all the expansions to :^) (Abigail will also take since the only "board game" she owns rn is set)	0																						
Pandemic: On the Brink	NM	Y	Y	Extra Materials?	0																						
Poo: The Card Game	G	Y	N		0																						
Power Grid	NM	Y	Y		0																						
Power Grid: Deluxe	NM	Y	N		0	matt																					
Power Struggle	NM	Y	N		1							1															
Puerto Rico	VG	Y	Y		0																						
Quarantine	NM	Y	N		0																						
Quarriors!	VG	Y	N		0	matt																					
Race for the Galaxy	NM	Y	Y		0																						
Race for the Galaxy	P	Y	N	Redundant Copy, if we are tossing I would like this (JULIE)	0																						
Railways Express	NM	Y	N		0																						
Resident Evil Deck Building Game	NM	Y	N	if we're tossing this I kinda want it - Ryne	1							1															
Risk	NM	Y	N		0																						
Robo Rally	VP	Y	N		2		1											1									
Rodeo Rummy	NM	Y	N		0																						
Roll for the Galaxy	NM	Y	Y		0	matt																					
Roll for the Galaxy: Ambition	NM	Y	Y		0	matt																					
Romance of the Nine Empires	NM	Y	N		1							1															
Rowboat	VG	Y	N		0																						
Runewars	VP	Y	Y		0																						
Russian Railroads	VG	Y	Y		0	matt																					
Scene It? Deluxe Movie Edition	NM	Y	N		0																						
Scrabble	VG	Y	N		0																						
Scythe	NM	Y	Y		0	matt																					
Secret Hitler	NM	Y	Y		0																						
Sentinels of the Multiverse	NM	Y	Y		0	matt																					
Shadows over Camelot	G	Y	Y		0																						
Shark	NM	Y	N		0																						
Sid Meier's Civilization: The Board Game	NM	Y	Y		0																						
Sid Meier's Civilization: The Board Game - Wisdom and Warfare	NM	Y	Y		0																						
Sky Traders	NM	Y	N		1							1															
Small World	G	Y	Y		0																						
Small World Underground	G	Y	Y		0																						
Small World: Tales and Legends	VG	Y	Y		0																						
Smash Up	NM	Y	Y	Extra Materials	0																						
Smash Up: Awesome Level 9000	VG	N	Y		0																						
Sorry!	VG	Y	N		0																						
Space Alert	NM	Y	Y		0																						
Square Shooters	M	Y	N		0																						
StarCraft: The Board Game	VP	Y	Y	Extra Materials?	0																						
StarCraft: The Board Game - Brood War Expansion	VG	N	Y		0																						
Stone Age	VG	Y	Y		0																						
Storm the Castle!	NM	Y	N		0	matt																					
Terra Mystica	NM	Y	Y		0	matt																					
The Baffler	NM	Y	N	Abigail's mom likes puzzles- I'll give this to her	0																						
THe Doom That Came To Atlantic City	NM	Y	N	I know for a fact that andrew has a person copy of this (at our place, this copy is not Andrew's1)	1		1																				
The Lord of the Rings Dice Building Game	NM	Y	N		0																						
The Red Dragon Inn	VG	Y	N	consolidated into 5	1							1															
The Red Dragon Inn 2	VG	Y	N	consolidated into 5	1							1															
The Red Dragon Inn 3	VG	Y	N	consolidated into 5	1							1															
The Red Dragon Inn 4	NM	Y	N	consolidated into 5	1	andrew						1															
The Red Dragon Inn 5	NM	Y	Y		1							1															
The Republic of Rome	NM	Y	Y		0																						
The Resistance	VG	Y	Y	Gisela has a personal copy of this at her place	0	matt																					
The Settlers of Catan	G	Y	Y		0																						
The Settlers of Catan	VG	Y	N	Redundant Copy - We should throw a Catan Tournament (JULIE), or Abigail will take because she doesn't have it and likes it	0																						
Ticket to Ride: Europe	VG	Y	Y		0																						
Tsuro	VG	Y	Y	Gisela Wants this Shit	2		1					1															
Twilight Imperium (Third Edition)	P	Y	Y	Extra Materials?	0																						
Twilight Imperium (Third Edition): Shards of the Throne	N/A	N	Y	Empty Box	0																						
Twilight Imperium (Third Edition): Shattered Empire	N/A	N	Y	Empty Box	0																						
Twilight Struggle	NM	Y	Y		0																						
Valley of the Mammoths	NM	Y	N		0																						
War of the Ring (Second Edition)	VG	Y	Y		0																						
Wizards & Warlords	NM	Y	N	is this Wizards & Warlords (2001) or Warlords & Wizards (1996)?	0																						
We Didn't Playtest This at All	G	Y	N	ez micro game	2							1															
XCOM: The Board Game	NM	Y	Y		0	matt																					
Zong Shi	NM	Y	N		1		1																				
Acquire	NM	Y	Y																								
Letters from Whitechapel	NM	Y	Y																								
Illuminati	VG	Y	Y																								
Castles of Burgundy	NM	Y	Y																								
Suburbia	NM	Y	Y																								
Memoir '44	NM	Y	Y																								
